Marital status,Application mode,Application order,Course,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Daytime/evening attendance
single,1,3,Journalism and Communication,Secondary education,143,Italian,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Unskilled Workers,133.9,yes,no,no,yes,male,yes,18,no,0,6,7,6,13.5,0,0,6,7,6,13,0,16.2,0.3,-0.92,Graduate,daytime
single,1,3,Nursing,Secondary education,133.1,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,115.5,yes,no,no,yes,male,yes,20,yes,0,8,8,7,13.02428571,0,0,8,8,7,13.02428571,0,10.8,1.4,1.74,Graduate,daytime
single,17,5,Tourism,Secondary education,121,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",116.5,yes,no,no,no,male,no,18,yes,0,6,12,0,0,0,0,6,0,0,0,0,9.4,-0.8,-3.12,Dropout,daytime
single,1,1,Informatics Engineering,Secondary education,168,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Administrative staff,171.2,no,no,no,yes,male,yes,18,yes,0,5,6,5,17.33333333,0,0,5,8,5,18.57142857,0,12.4,0.5,1.79,Graduate,daytime
single,1,1,Advertising and Marketing Management,Secondary education,124,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",119.1,no,no,no,yes,male,yes,20,yes,0,5,7,4,11,0,0,5,7,4,11.5,0,9.4,-0.8,-3.12,Graduate,daytime
single,17,2,Basic Education,Secondary education,127,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,121.1,yes,no,no,yes,male,no,19,yes,0,7,10,6,13.66666667,0,0,7,9,6,12.5,0,12.4,0.5,1.79,Dropout,daytime
single,1,2,Communication Design,Secondary education,129,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Unskilled Workers,132.9,yes,no,no,yes,male,yes,20,yes,0,6,9,6,11.375,0,0,6,6,5,13.8,0,7.6,2.6,0.32,Enrolled,daytime
single,1,1,Social Service,Secondary education,137,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,132.8,no,no,no,yes,male,no,19,yes,0,6,6,6,12.83333333,0,0,6,8,6,11.83333333,0,10.8,1.4,1.74,Graduate,daytime
single,1,1,Journalism and Communication,Secondary education,120,Portuguese,Can read without having a 4th year of schooling,Basic education 1st cycle (4th/5th year) or equiv.,Student,Student,126.7,yes,no,no,yes,male,no,20,yes,0,6,9,5,12.6,0,0,6,11,4,11.5,0,7.6,2.6,0.32,Graduate,daytime
single,1,1,Nursing,Secondary education,110,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",105.8,yes,no,no,yes,male,no,22,yes,0,7,8,6,14.33333333,0,0,8,9,7,13.77142857,0,11.1,0.6,2.02,Graduate,daytime
single,17,2,Informatics Engineering,Secondary education,120,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,117.2,no,no,no,yes,male,yes,18,yes,0,5,8,4,13.5,0,0,6,10,6,13.625,0,11.1,0.6,2.02,Enrolled,daytime
single,1,1,Nursing,Secondary education,143,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,140,no,no,no,yes,male,no,19,yes,0,8,8,7,14.28571429,0,0,8,8,7,14.28571429,0,12.7,3.7,-1.7,Graduate,daytime
single,44,1,Agronomy,Technological specialization course,120,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",120,no,no,no,yes,male,no,22,yes,2,6,15,3,11.75,0,0,6,12,2,10,0,13.9,-0.3,0.79,Dropout,daytime
single,17,5,Informatics Engineering,Secondary education,124,Italian,Higher Education - Master's,Other - 11th Year of Schooling,Specialists in Intellectual and Scientific Activities ,Unskilled Workers,119.5,yes,no,no,yes,male,no,20,no,0,5,5,5,14.8,0,0,5,5,5,17.6,0,8.9,1.4,3.51,Graduate,daytime
married,39,1,Agronomy,Secondary education,168,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Specialized higher studies course,Unskilled Workers,Intermediate Level Technicians and Professions,153.9,no,no,yes,no,male,no,34,yes,0,6,7,0,0,0,0,6,0,0,0,0,12.4,0.5,1.79,Dropout,daytime
married,39,1,Social Service (evening attendance),Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,130,no,no,no,yes,male,no,24,yes,0,6,14,1,10,0,0,5,5,0,0,0,16.2,0.3,-0.92,Dropout,evening
single,39,2,Advertising and Marketing Management,Secondary education,150,Portuguese,Unknown,Unknown,Student,Student,107,yes,no,no,yes,male,no,26,yes,0,5,5,0,0,0,0,5,5,0,0,0,7.6,2.6,0.32,Dropout,daytime
single,39,1,Nursing,Secondary education,140,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",132.8,no,no,no,yes,male,no,35,yes,0,7,10,4,12.6,0,0,7,9,5,12.38,0,12.4,0.5,1.79,Dropout,daytime
single,1,1,Management (evening attendance),Secondary education,145,Portuguese,Higher Education - Bachelor's Degree,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,127.5,yes,no,no,yes,male,no,22,yes,0,5,9,5,12.42857143,1,0,5,7,5,11.8,0,7.6,2.6,0.32,Graduate,evening
single,18,1,Tourism,Secondary education,118,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",123.3,yes,no,no,yes,male,no,26,yes,0,6,10,4,10,0,0,6,11,3,12,0,9.4,-0.8,-3.12,Enrolled,daytime
single,17,1,Management,Secondary education,123,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Administrative staff,122,no,no,no,yes,male,no,19,yes,0,5,7,3,12.33333333,0,0,5,5,0,0,0,8.9,1.4,3.51,Dropout,daytime
single,1,5,Tourism,Secondary education,120,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Unskilled Workers,114.8,yes,no,no,no,male,no,19,yes,0,6,0,0,0,0,0,6,0,0,0,0,8.9,1.4,3.51,Dropout,daytime
single,44,1,Animation and Multimedia Design,Technological specialization course,140,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities ,Specialists in Intellectual and Scientific Activities ,140,no,no,yes,yes,male,no,20,yes,0,0,0,0,0,0,0,0,0,0,0,0,15.5,2.8,-4.06,Graduate,daytime
single,51,1,Advertising and Marketing Management,Secondary education,126,Portuguese,Higher Education - Degree,Higher Education - Degree," Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Armed Forces Professions,111,no,no,yes,yes,male,no,21,yes,5,11,12,10,12.1,0,2,8,9,8,13.33333333,0,11.1,0.6,2.02,Graduate,daytime
single,1,2,Journalism and Communication,Secondary education,137,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",133.2,yes,no,no,yes,female,yes,19,yes,0,6,7,6,14.71428571,0,0,6,6,6,15,0,13.9,-0.3,0.79,Graduate,daytime
single,1,3,Journalism and Communication,Secondary education,130,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,123,yes,no,no,yes,female,no,18,yes,0,6,6,6,12.66666667,0,0,6,7,6,12.83333333,0,12.7,3.7,-1.7,Graduate,daytime
single,53,1,Agronomy,Professional higher technical course,150,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Installation and Machine Operators and Assembly Workers,150,no,no,no,yes,female,yes,23,yes,7,12,14,12,14.38461538,0,5,10,12,10,13.3,0,8.9,1.4,3.51,Graduate,daytime
single,17,3,Management,Secondary education,147,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",132.3,yes,no,no,yes,female,yes,18,yes,0,5,5,5,13.4,0,0,5,6,5,12.2,0,12.7,3.7,-1.7,Graduate,daytime
single,18,1,Nursing,Secondary education,140,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",126,yes,no,no,yes,female,no,18,yes,0,8,8,7,13.31428571,0,0,8,8,7,13.31428571,0,12.7,3.7,-1.7,Graduate,daytime
single,1,3,Nursing,Secondary education,132,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,119.3,yes,no,no,yes,female,no,19,yes,0,8,8,7,11.98857143,0,0,8,8,7,11.98857143,0,10.8,1.4,1.74,Graduate,daytime
single,53,1,Management,Professional higher technical course,130,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Data, accounting, statistical, financial services and registry-related operators","Skilled workers in metallurgy, metalworking and similar",133.8,yes,no,no,yes,female,no,21,yes,6,11,17,11,11.54545455,0,3,9,13,8,12.88888889,0,8.9,1.4,3.51,Graduate,daytime
single,1,1,Veterinary Nursing,Secondary education,130,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",126.5,yes,no,no,yes,female,yes,18,yes,0,6,13,6,16.46153846,0,0,6,8,6,13.875,0,15.5,2.8,-4.06,Graduate,daytime
single,1,1,Journalism and Communication,Secondary education,151,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",138.4,yes,no,no,yes,female,yes,24,yes,0,6,7,6,13.66666667,0,0,6,6,6,12.83333333,0,10.8,1.4,1.74,Graduate,daytime
single,1,4,Nursing,Secondary education,144,Portuguese,Higher Education - Degree,Technological specialization course,Specialists in Intellectual and Scientific Activities ,Intermediate Level Technicians and Professions,129,yes,no,no,yes,female,no,18,yes,0,7,8,7,12.65,0,0,8,9,8,13.41111111,0,16.2,0.3,-0.92,Dropout,daytime
single,1,1,Advertising and Marketing Management,Secondary education,127,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",118.3,yes,no,no,yes,female,no,18,yes,0,6,7,6,12.33333333,0,0,6,10,3,12,0,13.9,-0.3,0.79,Enrolled,daytime
single,17,2,Nursing,Secondary education,131,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",129.8,yes,no,no,yes,female,no,20,yes,0,7,8,6,14.37,0,0,8,10,7,14.65,0,12.4,0.5,1.79,Graduate,daytime
single,17,2,Veterinary Nursing,Secondary education,123,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Unskilled Workers,113.6,yes,no,no,yes,female,no,19,yes,0,5,13,3,12,2,0,5,8,4,11.75,0,9.4,-0.8,-3.12,Enrolled,daytime
single,1,5,Journalism and Communication,Secondary education,130,Portuguese,Unknown,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Student,Installation and Machine Operators and Assembly Workers,128.3,yes,no,no,no,female,yes,18,yes,0,6,12,3,12,0,0,6,15,3,10.66666667,0,7.6,2.6,0.32,Dropout,daytime
single,43,1,Tourism,Secondary education,130,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",130,no,no,no,yes,female,yes,19,yes,0,6,11,4,12,0,0,6,14,3,11,0,10.8,1.4,1.74,Dropout,daytime
single,17,2,Basic Education,Secondary education,131,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,Installation and Machine Operators and Assembly Workers,121.9,yes,no,no,yes,female,no,19,yes,0,6,10,5,12.6,0,0,6,7,5,11.2,0,10.8,1.4,1.74,Graduate,daytime
single,1,5,Social Service,Higher education - degree,135,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,129.4,no,no,yes,yes,female,no,18,yes,0,6,6,6,12.16666667,0,0,6,6,6,12.33333333,0,10.8,1.4,1.74,Graduate,daytime
single,1,2,Basic Education,Secondary education,123,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Meal preparation assistants,Other Armed Forces personnel,115.3,yes,no,no,yes,female,no,20,yes,0,7,8,6,13.5,0,0,7,8,6,14,0,11.1,0.6,2.02,Enrolled,daytime
single,1,5,Nursing,Secondary education,145,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,125.5,yes,no,no,yes,female,yes,18,yes,0,8,8,8,13.76375,0,0,8,8,8,13.76375,0,9.4,-0.8,-3.12,Graduate,daytime
single,17,6,Oral Hygiene,Secondary education,118,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",117.8,yes,no,no,yes,female,yes,19,yes,0,7,11,6,12.4,0,0,7,8,6,12.8,0,11.1,0.6,2.02,Graduate,daytime
single,17,3,Management,Secondary education,125,Portuguese,Higher Education - Degree,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Specialists in Intellectual and Scientific Activities ,Armed Forces Professions,118.7,yes,no,no,yes,female,no,18,yes,0,5,16,4,10.66666667,0,0,5,11,2,12,0,13.9,-0.3,0.79,Enrolled,daytime
single,1,2,Nursing,Secondary education,152,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,139,yes,no,no,yes,female,no,18,yes,0,7,7,6,14.33333333,0,0,7,7,6,14.33333333,0,7.6,2.6,0.32,Graduate,daytime
single,1,1,Veterinary Nursing,Secondary education,101,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,98.9,yes,no,no,yes,female,no,21,yes,0,6,12,4,12.5,0,0,6,13,2,12.66666667,0,11.1,0.6,2.02,Enrolled,daytime
single,17,1,Tourism,Secondary education,137,Portuguese,Unknown,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Student,"Skilled Workers in Industry, Construction and Craftsmen",137.7,yes,no,yes,no,female,no,19,yes,0,6,14,1,10,0,0,6,13,0,0,0,7.6,2.6,0.32,Dropout,daytime
single,1,4,Nursing,Secondary education,123,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,113.6,yes,no,no,yes,female,no,21,yes,0,7,8,7,14.69625,0,0,8,9,8,14.62222222,0,12.4,0.5,1.79,Graduate,daytime
single,1,1,Veterinary Nursing,Secondary education,120,Portuguese,Higher Education - Master's,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities ,Unskilled Workers,113.4,no,no,no,yes,female,no,18,yes,0,6,14,4,11.5,0,0,6,17,3,13.75,0,11.1,0.6,2.02,Enrolled,daytime
single,17,3,Oral Hygiene,Secondary education,131,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",128.5,no,no,no,yes,female,yes,18,yes,0,7,9,7,12.85555556,0,0,8,8,8,13.9125,0,12.7,3.7,-1.7,Graduate,daytime
single,1,1,Nursing,Secondary education,141,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Armed Forces Professions,142.8,no,no,no,yes,female,no,18,yes,0,7,7,7,13.7,0,0,8,9,8,13.99444444,0,11.1,0.6,2.02,Graduate,daytime
single,1,1,Equinculture,Secondary education,144,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.," Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Intermediate Level Technicians and Professions,137.7,no,no,no,no,female,no,23,yes,0,5,9,0,0,3,1,5,10,1,12,3,10.8,1.4,1.74,Dropout,daytime
single,1,1,Social Service,Secondary education,107,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",103.5,yes,no,no,yes,female,no,20,yes,0,6,13,3,11.2,0,0,6,9,4,12,0,16.2,0.3,-0.92,Enrolled,daytime
single,1,1,Nursing,Secondary education,133,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",123.2,no,no,no,yes,female,no,18,yes,0,7,7,7,13.28571429,0,0,8,9,8,13.33333333,0,16.2,0.3,-0.92,Graduate,daytime
single,17,2,Basic Education,Secondary education,126,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Specialists in Intellectual and Scientific Activities ,Armed Forces Professions,126,yes,no,no,yes,female,no,19,yes,0,6,9,5,13,0,0,6,8,5,10.4,0,7.6,2.6,0.32,Enrolled,daytime
single,39,1,Nursing,Secondary education,133.1,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction and Craftsmen",121.7,no,no,no,yes,female,yes,27,yes,0,7,8,6,12.6,0,0,7,9,6,11.68571429,0,12.4,0.5,1.79,Enrolled,daytime
single,17,1,Management,Secondary education,147,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",142.8,yes,no,yes,no,female,yes,19,yes,0,5,5,5,12.8,0,0,5,5,4,12,0,11.1,0.6,2.02,Enrolled,daytime
single,43,1,Equinculture,Secondary education,120,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,120,yes,no,no,yes,female,no,21,yes,0,6,14,5,11.5,1,0,6,13,5,11,1,15.5,2.8,-4.06,Dropout,daytime
single,18,1,Nursing,Secondary education,130,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Installation and Machine Operators and Assembly Workers,119.3,yes,no,no,yes,female,yes,19,yes,0,8,8,7,11.4,0,0,8,8,7,11.4,0,10.8,1.4,1.74,Graduate,daytime
single,44,1,Social Service,Secondary education,120,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Unskilled Workers,121,no,no,no,yes,female,yes,21,yes,3,6,6,6,12.33333333,0,2,6,8,6,11.33333333,0,13.9,-0.3,0.79,Graduate,daytime
single,1,5,Journalism and Communication,Secondary education,138,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,139.4,yes,no,no,yes,female,no,18,yes,0,6,7,5,12.8,0,0,6,10,4,12.2,0,10.8,1.4,1.74,Graduate,daytime
single,17,1,Veterinary Nursing,Secondary education,124,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",113.9,yes,no,no,yes,female,yes,20,yes,0,5,8,5,12,1,0,5,8,4,15,1,12.7,3.7,-1.7,Graduate,daytime
single,1,1,Basic Education,Secondary education,133,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",124.6,yes,no,no,yes,female,yes,18,yes,0,6,8,5,13,0,0,6,9,5,13.5,0,9.4,-0.8,-3.12,Graduate,daytime
single,17,1,Communication Design,Secondary education,122,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Installation and Machine Operators and Assembly Workers,123.8,yes,no,yes,no,female,yes,18,yes,0,6,6,6,11.83333333,0,0,6,8,6,11,0,12.7,3.7,-1.7,Dropout,daytime
single,1,3,Veterinary Nursing,Secondary education,138,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Administrative staff,Administrative staff,126.3,yes,no,no,yes,female,no,18,yes,0,6,8,6,14,0,0,6,9,6,13.33333333,0,8.9,1.4,3.51,Graduate,daytime
single,17,4,Journalism and Communication,Secondary education,134,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,120.4,yes,no,no,yes,female,yes,18,yes,0,6,6,6,12.33333333,0,0,6,6,6,13.5,0,16.2,0.3,-0.92,Graduate,daytime
single,1,3,Nursing,Secondary education,128,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",120.5,yes,no,no,yes,female,yes,19,yes,0,7,10,5,13.04,0,0,7,7,7,12.5,0,12.4,0.5,1.79,Enrolled,daytime
single,53,1,Veterinary Nursing,Professional higher technical course,140,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Unskilled Workers,144.9,yes,no,yes,no,female,no,23,yes,7,11,18,11,13.16666667,0,4,9,15,8,13.33333333,0,8.9,1.4,3.51,Enrolled,daytime
single,39,1,Veterinary Nursing,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Unskilled Workers,139.9,yes,no,no,yes,female,yes,24,yes,1,6,7,6,12.5,0,0,6,11,6,12.83333333,0,8.9,1.4,3.51,Graduate,daytime
single,1,1,Animation and Multimedia Design,Secondary education,142,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,133.3,yes,no,no,yes,female,no,19,yes,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,Graduate,daytime
single,1,3,Nursing,Secondary education,141,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,126,yes,no,no,yes,female,no,18,yes,0,8,8,7,15.65714286,0,0,8,8,7,15.65714286,0,12.7,3.7,-1.7,Graduate,daytime
single,1,2,Communication Design,Secondary education,145,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Intermediate Level Technicians and Professions,133.5,no,no,no,yes,female,no,19,yes,0,6,6,6,12.16666667,0,0,6,6,6,11.33333333,0,12.7,3.7,-1.7,Graduate,daytime
single,17,2,Basic Education,Secondary education,145,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Unskilled Workers,127.9,yes,no,no,yes,female,no,19,yes,0,6,0,0,0,0,0,6,0,0,0,0,10.8,1.4,1.74,Dropout,daytime
single,1,1,Social Service,Secondary education,108,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,105.9,no,no,no,yes,female,yes,20,yes,0,6,11,5,10.6,0,0,6,9,5,11.16666667,0,11.1,0.6,2.02,Enrolled,daytime
